orden,destacado,categoria,producto,precio_venta,unidad,buscar_foto,nota_revision
1,SI,Panadería,Pan fresco,2500,unidad,Pan fresco,
2,SI,Lácteos y refrigerados,Mantequilla Soprole 125 g,1700,unidad,Mantequilla Soprole 125 g,
3,SI,Lácteos y refrigerados,Mantequilla Soprole 250 g,3200,unidad,Mantequilla Soprole 250 g,
4,SI,Lácteos y refrigerados,Queso Negrete por kg,10500,kg,Queso Negrete,Venta al peso: cliente indica cantidad aproximada en la nota. Confirmar precio final por WhatsApp.
5,SI,Lácteos y refrigerados,Queso Quillayes laminado chico,3800,unidad,Queso Quillayes laminado chico,
6,SI,Lácteos y refrigerados,Queso Quillayes laminado grande,6500,unidad,Queso Quillayes laminado grande,
7,SI,Lácteos y refrigerados,Vienesas tradicionales x5,1600,pack,Vienesas tradicionales x5,
8,SI,Lácteos y refrigerados,Vienesas tradicionales pack familiar,4500,pack,Vienesas tradicionales pack familiar,
9,SI,Lácteos y refrigerados,Leche entera Colun 1 L,1600,unidad,Leche entera Colun 1 L,
10,,Lácteos y refrigerados,Yogurt batido Soprole,350,unidad,Yogurt batido Soprole,
11,,Lácteos y refrigerados,Crema de leche Soprole,1700,unidad,Crema de leche Soprole,
12,,Lácteos y refrigerados,Crema de leche Nestlé,1600,unidad,Crema de leche Nestlé,
13,,Lácteos y refrigerados,Leche Buen Día en polvo 700 g,8000,unidad,Leche Buen Día en polvo 700 g,
14,,Lácteos y refrigerados,Leche Buen Día en polvo 130 g,2000,unidad,Leche Buen Día en polvo 130 g,
15,,Lácteos y refrigerados,Leche condensada Nestlé,2200,unidad,Leche condensada Nestlé,
16,,Lácteos y refrigerados,Manjar Nestlé 200 g,1450,unidad,Manjar Nestlé 200 g,
17,,Lácteos y refrigerados,Manjar Nestlé 500 g,3400,unidad,Manjar Nestlé 500 g,
18,,Lácteos y refrigerados,Manjar Nestlé 1 kg,5000,unidad,Manjar Nestlé 1 kg,
19,,Lácteos y refrigerados,Manjar sin lactosa,2700,unidad,Manjar sin lactosa,
20,,Lácteos y refrigerados,Margarina pote Qualy,3300,unidad,Margarina pote Qualy,
21,,Lácteos y refrigerados,Queso crema Philadelphia,3850,unidad,Queso crema Philadelphia,
22,,Lácteos y refrigerados,Yogurt 1+1,800,unidad,Yogurt 1+1,
23,SI,Lácteos y refrigerados,Leche Colun 200 cc,600,unidad,Leche Colun 200 cc,
24,SI,Frutas y verduras,Palta por kg,5500,kg,Palta,Venta al peso: cliente indica cantidad aproximada en la nota. Confirmar precio final por WhatsApp.
25,SI,Abarrotes,Huevo unidad,300,unidad,Huevo unidad,
26,SI,Abarrotes,Huevos bandeja,8500,bandeja,Huevos bandeja,
27,,Congelados,Frutilla congelada,4000,unidad,Frutilla congelada,
28,,Congelados,Mix berries congelados,4500,unidad,Mix berries congelados,
29,,Congelados,Mix berries,5500,unidad,Mix berries,
30,,Congelados,Pack hamburguesas x2,1500,pack,Pack hamburguesas x2,
31,SI,Abarrotes,Harina Merkat,1200,unidad,Harina Merkat,
32,SI,Abarrotes,Harina tostada,2000,unidad,Harina tostada,
33,SI,Abarrotes,Arroz grano largo,2000,unidad,Arroz grano largo,
34,SI,Abarrotes,Arroz ancho,2500,unidad,Arroz ancho,
35,SI,Abarrotes,Arroz delgado,1900,unidad,Arroz delgado,
36,SI,Abarrotes,Salsa de tomate Pomarola San Remo chica,500,unidad,Salsa de tomate Pomarola San Remo chica,Confirmar formato/tamaño: se cargó como versión chica por existir otro precio de $1.000.
37,SI,Abarrotes,Salsa de tomate Pomarola San Remo,1000,unidad,Salsa de tomate Pomarola San Remo,Confirmar formato/tamaño: se cargó como versión normal/grande por existir otro precio de $500.
38,SI,Abarrotes,Caballa en conserva,1500,unidad,Caballa en conserva,
39,SI,Abarrotes,Sal,800,unidad,Sal,
40,SI,Abarrotes,Azúcar granulada,1700,unidad,Azúcar granulada,
41,,Abarrotes,Aceite maravilla Miraflores,3200,unidad,Aceite maravilla Miraflores,
42,,Abarrotes,Aceite maravilla Natura,3750,unidad,Aceite maravilla Natura,
43,,Abarrotes,Aceite vegetal,2200,unidad,Aceite vegetal,
44,,Abarrotes,Aceituna Azapa,3100,unidad,Aceituna Azapa,
45,,Abarrotes,Aceituna sevillana,3100,unidad,Aceituna sevillana,
46,,Abarrotes,Ají crema chileno,1000,unidad,Ají crema chileno,
47,,Abarrotes,Chancaca 1 bloque,1700,unidad,Chancaca 1 bloque,
48,,Abarrotes,Pepinillos,1900,unidad,Pepinillos,
49,,Abarrotes,Fideo Carozzi 400 g,1400,unidad,Fideo Carozzi 400 g,
50,,Abarrotes,Fideo cabello de ángel Lucchetti,1400,unidad,Fideo cabello de ángel Lucchetti,
51,,Abarrotes,Ketchup Hellmann’s chico,1000,unidad,Ketchup Hellmann’s chico,
52,,Abarrotes,Levadura seca Lefersa chica,400,unidad,Levadura seca Lefersa chica,
53,,Abarrotes,Pasta de pollo La Preferida,1500,unidad,Pasta de pollo La Preferida,
54,,Abarrotes,Pasta instantánea Maruchan,1700,unidad,Pasta instantánea Maruchan,
55,,Abarrotes,Paté de ternera La Preferida,1600,unidad,Paté de ternera La Preferida,
56,,Abarrotes,Paté de ternera San Jorge,800,unidad,Paté de ternera San Jorge,
57,,Abarrotes,Chucrut Tentro 360 g,1200,unidad,Chucrut Tentro 360 g,
58,,Abarrotes,Pantrucas Carozzi,1700,unidad,Pantrucas Carozzi,
59,,Bebidas,Néctar Sprim pack 3 unidades,1000,pack,Néctar Sprim pack 3 unidades,
60,,Abarrotes,Caldo Maggi unidad,250,unidad,Caldo Maggi unidad,"Comprado por pack/caja, vendido por unidad. Revisar stock y margen por unidad."
61,SI,Abarrotes,Endulzante,3500,unidad,Endulzante,
62,SI,Bebidas y licores,Cerveza lata Cristal o Escudo,1000,lata,Cerveza lata Cristal o Escudo,Confirmar marca elegida por WhatsApp según disponibilidad.
63,SI,Bebidas,Coca-Cola lata 350 cc,1100,lata,Coca-Cola lata 350 cc,
64,SI,Bebidas,Coca-Cola 500 cc,1500,unidad,Coca-Cola 500 cc,
65,SI,Bebidas,Coca-Cola 1.5 L,2300,unidad,Coca-Cola 1.5 L,
66,SI,Bebidas,Coca-Cola 2 L,2100,unidad,Coca-Cola 2 L,
67,SI,Bebidas,Coca-Cola 3 L,2700,unidad,Coca-Cola 3 L,
68,SI,Bebidas,Monster Energy,2000,lata,Monster Energy,
69,SI,Bebidas,Score Energy,1800,lata,Score Energy,
70,SI,Bebidas,Jugo Watts 2 L,2000,unidad,Jugo Watts 2 L,
71,,Bebidas,Gatorade 1 L,2000,unidad,Gatorade 1 L,
72,SI,Cigarrillos,Cigarrillos Kent Ikon Mix 20,5900,cajetilla,Cigarrillos Kent Ikon Mix 20,
73,SI,Cigarrillos,Cigarrillos Kent Rose 20,5900,cajetilla,Cigarrillos Kent Rose 20,
74,SI,Cigarrillos,Cigarrillos Kent True 20,5900,cajetilla,Cigarrillos Kent True 20,
75,SI,Cigarrillos,Cigarrillos Lucky Strike Blue Box 20,5800,cajetilla,Cigarrillos Lucky Strike Blue Box 20,
76,SI,Cigarrillos,Cigarrillos Pall Mall Click XL 20,5700,cajetilla,Cigarrillos Pall Mall Click XL 20,
77,SI,Cigarrillos,Cigarrillos Kent Neo 20,5300,cajetilla,Cigarrillos Kent Neo 20,
78,,Snacks y golosinas,Chocolate Capri 30 g,1000,unidad,Chocolate Capri 30 g,
79,,Snacks y golosinas,Chocolate Rolls,2400,unidad,Chocolate Rolls,
80,,Snacks y golosinas,Chocolate maní Nikolo,500,unidad,Chocolate maní Nikolo,Confirmar nombre/marca: el apunte original decía “coholate manu nikolo”.
81,,Snacks y golosinas,Mentitas Florete,400,unidad,Mentitas Florete,
82,,Snacks y golosinas,Chocman Costa 33 g,400,unidad,Chocman Costa 33 g,
83,,Snacks y golosinas,Galleta Alteza McKay,1400,unidad,Galleta Alteza McKay,
